Date : 2024-01-29 07:15:01
Directory : g:\quiz_app_new
Total : 121 files,  4389 codes, 356 comments, 680 blanks, all 5425 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         61 |      2,555 |         84 |        394 |      3,033 |
| XML        |         19 |        662 |         48 |         19 |        729 |
| C++        |         16 |        543 |        121 |        182 |        846 |
| JSON       |          7 |        348 |          0 |          4 |        352 |
| Gradle     |          3 |        102 |          5 |         23 |        130 |
| Swift      |          6 |         66 |          7 |         20 |         93 |
| YAML       |          3 |         50 |         75 |         18 |        143 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Kotlin     |          1 |          4 |          0 |          3 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |        121 |      4,389 |        356 |        680 |      5,425 |
| . (Files)                                                                                        |          4 |         60 |         75 |         25 |        160 |
| android                                                                                          |         14 |        259 |         51 |         37 |        347 |
| android (Files)                                                                                  |          3 |         53 |          0 |         12 |         65 |
| android\app                                                                                      |         10 |        201 |         51 |         24 |        276 |
| android\app (Files)                                                                              |          2 |        138 |          5 |         12 |        155 |
| android\app\src                                                                                  |          8 |         63 |         46 |         12 |        121 |
| android\app\src\debug                                                                            |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                             |          6 |         57 |         38 |         10 |        105 |
| android\app\src\main (Files)                                                                     |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\kotlin                                                                      |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                                  |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                                          |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\quiz_app_new                                             |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                         |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                  |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                            |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                          |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                   |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                           |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                              |         14 |        357 |          4 |         17 |        378 |
| ios (Files)                                                                                      |          1 |          7 |          0 |          0 |          7 |
| ios\Flutter                                                                                      |          1 |         26 |          0 |          1 |         27 |
| ios\Runner                                                                                       |          9 |        301 |          2 |         10 |        313 |
| ios\Runner (Files)                                                                               |          4 |         92 |          0 |          4 |         96 |
| ios\Runner.xcodeproj                                                                             |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace                                                         |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace\xcshareddata                                            |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace                                                                           |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace\xcshareddata                                                              |          1 |          8 |          0 |          1 |          9 |
| ios\RunnerTests                                                                                  |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                       |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                    |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                  |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                            |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                              |         60 |      2,540 |         74 |        387 |      3,001 |
| lib (Files)                                                                                      |          3 |        156 |         12 |         15 |        183 |
| lib\bloc                                                                                         |         18 |        611 |         11 |        168 |        790 |
| lib\bloc\auth                                                                                    |          3 |        208 |          6 |         38 |        252 |
| lib\bloc\course                                                                                  |          3 |         62 |          1 |         26 |         89 |
| lib\bloc\profile                                                                                 |          3 |         89 |          0 |         22 |        111 |
| lib\bloc\quiz                                                                                    |          3 |         98 |          3 |         31 |        132 |
| lib\bloc\settings_bloc                                                                           |          3 |         88 |          0 |         30 |        118 |
| lib\bloc\settings_bloc\bloc                                                                      |          3 |         88 |          0 |         30 |        118 |
| lib\bloc\user                                                                                    |          3 |         66 |          1 |         21 |         88 |
| lib\data                                                                                         |         17 |        544 |         27 |        115 |        686 |
| lib\data\models                                                                                  |         15 |        501 |         27 |        108 |        636 |
| lib\data\repositories                                                                            |          2 |         43 |          0 |          7 |         50 |
| lib\ui                                                                                           |         17 |        910 |         18 |         59 |        987 |
| lib\ui (Files)                                                                                   |          1 |          3 |          0 |          2 |          5 |
| lib\ui\screens                                                                                   |         10 |        652 |         17 |         31 |        700 |
| lib\ui\screens (Files)                                                                           |          7 |        613 |         16 |         26 |        655 |
| lib\ui\screens\quiz                                                                              |          3 |         39 |          1 |          5 |         45 |
| lib\ui\widgets                                                                                   |          6 |        255 |          1 |         26 |        282 |
| lib\utils                                                                                        |          5 |        319 |          6 |         30 |        355 |
| linux                                                                                            |          5 |         94 |         27 |         38 |        159 |
| linux (Files)                                                                                    |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                    |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                            |         11 |        543 |          5 |         19 |        567 |
| macos (Files)                                                                                    |          1 |          7 |          0 |          0 |          7 |
| macos\Flutter                                                                                    |          1 |         20 |          3 |          4 |         27 |
| macos\Runner                                                                                     |          6 |        493 |          0 |          9 |        502 |
| macos\Runner (Files)                                                                             |          4 |         82 |          0 |          7 |         89 |
| macos\Runner.xcodeproj                                                                           |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcodeproj\project.xcworkspace                                                       |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcodeproj\project.xcworkspace\xcshareddata                                          |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcworkspace                                                                         |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcworkspace\xcshareddata                                                            |          1 |          8 |          0 |          1 |          9 |
| macos\RunnerTests                                                                                |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                     |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                  |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                          |          1 |        343 |          0 |          1 |        344 |
| test                                                                                             |          1 |         15 |         10 |          7 |         32 |
| web                                                                                              |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                          |         10 |        448 |         94 |        143 |        685 |
| windows\flutter                                                                                  |          2 |         20 |          9 |         11 |         40 |
| windows\runner                                                                                   |          8 |        428 |         85 |        132 |        645 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                         | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| g:\quiz_app_new\README.md                                                                        | Markdown   |         10 |          0 |          7 |         17 |
| g:\quiz_app_new\analysis_options.yaml                                                            | YAML       |          3 |         22 |          4 |         29 |
| g:\quiz_app_new\android\app\build.gradle                                                         | Gradle     |         52 |          5 |         12 |         69 |
| g:\quiz_app_new\android\app\google-services.json                                                 | JSON       |         86 |          0 |          0 |         86 |
| g:\quiz_app_new\android\app\src\debug\AndroidManifest.xml                                        | XML        |          3 |          4 |          1 |          8 |
| g:\quiz_app_new\android\app\src\main\AndroidManifest.xml                                         | XML        |         27 |          6 |          1 |         34 |
| g:\quiz_app_new\android\app\src\main\kotlin\com\example\quiz_app_new\MainActivity.kt             | Kotlin     |          4 |          0 |          3 |          7 |
| g:\quiz_app_new\android\app\src\main\res\drawable-v21\launch_background.xml                      | XML        |          4 |          7 |          2 |         13 |
| g:\quiz_app_new\android\app\src\main\res\drawable\launch_background.xml                          | XML        |          4 |          7 |          2 |         13 |
| g:\quiz_app_new\android\app\src\main\res\values-night\styles.xml                                 | XML        |          9 |          9 |          1 |         19 |
| g:\quiz_app_new\android\app\src\main\res\values\styles.xml                                       | XML        |          9 |          9 |          1 |         19 |
| g:\quiz_app_new\android\app\src\profile\AndroidManifest.xml                                      | XML        |          3 |          4 |          1 |          8 |
| g:\quiz_app_new\android\build.gradle                                                             | Gradle     |         26 |          0 |          5 |         31 |
| g:\quiz_app_new\android\gradle.properties                                                        | Properties |          3 |          0 |          1 |          4 |
| g:\quiz_app_new\android\gradle\wrapper\gradle-wrapper.properties                                 | Properties |          5 |          0 |          1 |          6 |
| g:\quiz_app_new\android\settings.gradle                                                          | Gradle     |         24 |          0 |          6 |         30 |
| g:\quiz_app_new\ios\Flutter\AppFrameworkInfo.plist                                               | XML        |         26 |          0 |          1 |         27 |
| g:\quiz_app_new\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist   | XML        |          8 |          0 |          1 |          9 |
| g:\quiz_app_new\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                     | XML        |          8 |          0 |          1 |          9 |
| g:\quiz_app_new\ios\RunnerTests\RunnerTests.swift                                                | Swift      |          7 |          2 |          4 |         13 |
| g:\quiz_app_new\ios\Runner\AppDelegate.swift                                                     | Swift      |         12 |          0 |          2 |         14 |
